DATE,USALORSGPNOSTSAM
1976-01-01,98.8374445479985
1976-02-01,99.0303838445014
1976-03-01,99.1559260121488
1976-04-01,99.2151251263179
1976-05-01,99.2193156216369
1976-06-01,99.1843272769245
1976-07-01,99.1284655858314
1976-08-01,99.0697142056838
1976-09-01,99.0243724907321
1976-10-01,99.0058442972208
1976-11-01,99.0258607825883
1976-12-01,99.0936928397752
1977-01-01,99.2125006003875
1977-02-01,99.3810550355085
1977-03-01,99.5916396083174
1977-04-01,99.8241928272673
1977-05-01,100.052361282704
1977-06-01,100.247906153745
1977-07-01,100.3854135628
1977-08-01,100.447318196672
1977-09-01,100.432996144324
1977-10-01,100.373013629537
1977-11-01,100.313730499024
1977-12-01,100.305328921419
1978-01-01,100.390182976279
1978-02-01,100.594105642222
1978-03-01,100.910804108026
1978-04-01,101.298636762283
1978-05-01,101.695881863323
1978-06-01,102.052335710039
1978-07-01,102.342798444949
1978-08-01,102.564813653366
1978-09-01,102.723119906346
1978-10-01,102.818879968505
1978-11-01,102.850624979433
1978-12-01,102.81985835186
1979-01-01,102.741365493798
1979-02-01,102.63487901559
1979-03-01,102.520414788115
1979-04-01,102.415922874707
1979-05-01,102.334356136007
1979-06-01,102.280312055812
1979-07-01,102.245273357993
1979-08-01,102.21386254113
1979-09-01,102.168892342031
1979-10-01,102.096346567452
1979-11-01,101.98174166984
1979-12-01,101.808702169053
1980-01-01,101.560781129489
1980-02-01,101.228932243408
1980-03-01,100.824294564234
1980-04-01,100.396597555483
1980-05-01,100.010578790643
1980-06-01,99.7249333123469
1980-07-01,99.5691880169563
1980-08-01,99.5523973332429
1980-09-01,99.6621109765603
1980-10-01,99.8692495251064
1980-11-01,100.129537714414
1980-12-01,100.394105136278
1981-01-01,100.616436756134
1981-02-01,100.761758984883
1981-03-01,100.819502296791
1981-04-01,100.807291518422
1981-05-01,100.755374616453
1981-06-01,100.682176876233
1981-07-01,100.572755075118
1981-08-01,100.397205470147
1981-09-01,100.13147776078
1981-10-01,99.7824473096709
1981-11-01,99.3741683089606
1981-12-01,98.9399368163034
1982-01-01,98.5185989556315
1982-02-01,98.1441056661053
1982-03-01,97.8343952017361
1982-04-01,97.5769896598732
1982-05-01,97.3484196881873
1982-06-01,97.1292346262083
1982-07-01,96.9165054748416
1982-08-01,96.7195256404912
1982-09-01,96.5548923090546
1982-10-01,96.4403136177849
1982-11-01,96.393880432536
1982-12-01,96.4295119983485
1983-01-01,96.5471974649994
1983-02-01,96.7407914720366
1983-03-01,96.9994093781673
1983-04-01,97.3028803770882
1983-05-01,97.630402400332
1983-06-01,97.9656027367636
1983-07-01,98.2995023686794
1983-08-01,98.6281985852453
1983-09-01,98.950156393352
1983-10-01,99.2633874184949
1983-11-01,99.5650851770686
1983-12-01,99.8514546061444
1984-01-01,100.117955844802
1984-02-01,100.358520003615
1984-03-01,100.565816309863
1984-04-01,100.73303717895
1984-05-01,100.854018864476
1984-06-01,100.925933884519
1984-07-01,100.954999625103
1984-08-01,100.950883515705
1984-09-01,100.923972386516
1984-10-01,100.884867010599
1984-11-01,100.842734574554
1984-12-01,100.804437555418
1985-01-01,100.773788636583
1985-02-01,100.753497827348
1985-03-01,100.746469356254
1985-04-01,100.756268063944
1985-05-01,100.78499575561
1985-06-01,100.829898362341
1985-07-01,100.878547683668
1985-08-01,100.91571407424
1985-09-01,100.929879537303
1985-10-01,100.920486206298
1985-11-01,100.891693568613
1985-12-01,100.847818371436
1986-01-01,100.790191467569
1986-02-01,100.718997260461
1986-03-01,100.636108407338
1986-04-01,100.548896737547
1986-05-01,100.465556515515
1986-06-01,100.390847489719
1986-07-01,100.321671385388
1986-08-01,100.252108065352
1986-09-01,100.178071134676
1986-10-01,100.10201668293
1986-11-01,100.029965304912
1986-12-01,99.9687823912164
1987-01-01,99.923290846615
1987-02-01,99.8968402014738
1987-03-01,99.8908345999406
1987-04-01,99.9029805026755
1987-05-01,99.930770149619
1987-06-01,99.9737190635814
1987-07-01,100.034551618008
1987-08-01,100.11547129362
